INDEX,X,Y,Z
1,3.4272,1.4519,810
2,7.4337,0.6968,775
3,10.5134,1.079,771
4,12.1328,1.6218,747
5,13.0687,2.2599,735
6,16.0843,2.2751,696
7,18.1351,2.0809,695
8,19.7767,0.9093,678
9,20.8088,2.0979,683
10,22.5448,1.1401,662
11,23.9448,1.3472,654
12,1.4186,3.7887,835
13,5.1756,2.8818,785
14,7.8479,2.6538,792
15,12.1107,3.3668,745
16,14.3515,3.8451,719
17,17.0246,3.7397,704
18,19.1655,2.9328,703
19,21.0345,3.658,676
20,22.7151,4.0168,665
21,24.2103,4.5908,583
22,22.1944,5.5194,647
23,19.8318,5.5315,703
24,18.3435,6.3044,703
25,15.9733,4.8471,700
26,9.7563,4.9706,785
27,7.6471,5.8998,804
28,-0.9299,6.5252,809
29,2.4034,7.8551,813
30,5.363,9.0645,889
31,7.5353,8.3187,889
32,8.3357,6.784,814
33,12.158,6.489,768
34,15.4608,7.9415,716
35,17.668,7.9303,700
36,19.5052,8.5025,655
37,21.3385,8.3401,656
38,16.9619,9.6482,693
39,13.601,8.9918,726
40,11.557,10.5023,767
41,9.8112,9.5622,876
42,7.3923,10.7072,886
43,6.5237,11.079,846
44,4.6236,10.354,845
45,2.8526,10.5467,815
46,1.3578,10.0645,806
47,2.2145,13.3969,906
48,5.6953,13.1954,841
49,10.2613,12.4374,803
50,14.1428,11.5605,726
51,17.0625,11.0558,670
52,19.9959,13.2143,527
53,19.4054,13.2479,535
54,14.0867,12.724,722
55,13.0042,13.801,729
56,8.7474,14.2513,830
57,3.3398,14.585,858
58,0.9168,14.9341,908
59,5.7075,15.5525,815
60,12.0803,15.4894,747
61,13.0137,15.6377,732
62,18.731,15.0881,560
63,20.5084,16.1199,592
64,20.2083,18.203,606
65,15.3538,17.2788,665
66,13.6154,17.7775,672
67,10.6252,16.6601,768
68,11.8132,17.9397,745
69,9.4501,17.8599,830
70,3.0123,17.3724,853
71,1.3041,17.6872,856
72,1.2222,19.8917,909
73,4.2044,19.4479,861
74,6.5072,19.8954,826
75,11.4504,19.9314,773
76,13.1261,19.3412,695
77,14.9574,18.7808,660
78,17.354,19.3196,649
79,20.7484,20.435,601
80,18.0433,20.3569,661
81,15.96,20.2757,686
82,4.6772,20.7006,880
83,2.4108,21.2938,941
84,8.6948,22.0883,832
85,11.3061,22.075,757
86,13.4505,21.9416,726
87,15.4431,22.513,718
88,17.6155,21.7979,683
89,20.7557,21.8431,631
90,20.7028,23.6495,635
91,21.825,24.2254,614
92,17.9948,22.9898,668
93,12.3355,22.7432,739
94,2.6683,22.9762,959
95,5.9994,23.8776,900
96,9.2324,23.8611,842
97,12.7196,24.8841,752
98,15.9789,23.9185,685
99,17.5343,24.1248,648
100,4.5456,25.2931,971
101,8.4919,24.9363,859
